Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
80150,-1.186628,-0.689078,0.180942,0.557708,0.184466,0.644178,-1.126481,-0.292995,-0.812074,-1.063649,-0.506303,0.313646,-0.497306,-0.186424,-0.00951,1.436506,-0.259636,0.065014,0.718173,0.181499,-0.002562,0.293545,-0.216249,0.734318,-0.745507,0.208028,0.147445,-0.681643,2242.97,0
58869,-0.829725,-0.422451,-0.55314,0.612181,0.133227,-0.300033,-0.414872,1.06201,-0.329377,0.403078,-0.598597,0.201501,0.307519,-0.759562,-0.197041,-0.151106,0.391261,0.289936,0.446015,-0.742966,0.953506,0.746782,-0.841678,0.409753,-0.144201,-1.189926,-0.734367,0.318223,128.39,0
57524,-1.409606,0.450187,0.361944,0.073232,0.787724,-0.383904,-0.164428,0.492323,0.018407,-0.298014,0.337393,-0.732816,-0.147805,-0.0497,0.970387,-0.362175,0.805386,0.517209,-0.108874,-0.296965,-0.24435,-0.463087,-0.028641,0.509354,0.403285,-0.09136,0.072084,0.364937,345.67,0
77184,0.225843,-0.81033,0.10467,1.209871,0.431375,0.251774,1.242329,-0.493023,0.333551,-0.056137,0.270044,-0.173786,0.446523,2.124063,-0.909164,-0.963729,-0.435459,-0.206613,1.108989,1.122948,0.15598,0.63227,0.72091,-0.208535,-0.8598,-0.820466,0.901872,-0.212297,589.87,0
59694,-0.174458,-0.61173,-0.519587,0.800562,-1.115815,0.282088,0.379827,0.945062,0.382676,-0.477203,-0.977752,0.251417,-0.456191,-0.541464,-0.485008,0.836827,0.028365,0.347737,0.161179,0.349512,0.213934,0.255146,0.473723,0.811782,0.141583,0.294039,-0.050805,0.339371,5.06,0
49864,0.19039,0.400352,0.388455,0.129466,0.398412,0.244704,0.25314,0.37694,0.626674,-0.250649,-0.144577,0.161156,-0.148284,0.252826,-0.331007,-0.110062,0.4029,0.846388,-0.184658,0.727153,-0.083178,0.785206,-0.121157,-0.14198,-1.08591,0.193803,0.937304,0.468288,7.96,0
84296,-0.526519,-0.430598,-0.927009,1.211435,0.674249,-0.306319,0.306469,0.105495,0.822373,-0.069735,-0.325421,0.795264,0.606797,-0.296168,0.391018,-0.672493,-0.962383,-0.307981,-0.701185,0.586968,-0.142388,-0.544959,-0.179037,0.264911,0.3041,-0.569116,0.27495,-0.641809,29.28,0
54718,-0.300035,-0.073642,-0.323302,0.150202,-0.749524,0.422304,0.151845,-0.190614,0.01848,0.200824,-0.806593,0.409201,0.017259,-0.154574,-0.171312,-0.457618,0.975896,0.180378,-0.388502,0.234216,-0.532196,-0.891551,0.097873,-0.320835,-0.06575,-0.469797,0.259828,0.155639,5042.15,0
86120,-1.366302,0.226638,0.411815,0.86682,-0.716657,-0.315863,0.226443,-0.554085,-0.17169,0.296436,0.650136,0.516358,-0.306877,-0.880846,0.150509,-1.181842,0.129037,0.184914,0.087383,0.139974,-0.243979,0.056827,0.401118,0.364066,-0.94081,0.004317,-0.39041,0.922588,2522.69,0
66127,0.052157,-0.617344,-0.212555,0.827632,0.647034,0.416105,0.140867,0.373362,-0.57938,-0.15186,0.334114,-0.296753,-0.107642,-0.353591,-0.527293,-0.138159,0.478456,0.701937,-0.268456,-0.201366,0.456993,-0.799866,0.482452,0.287107,-0.124802,-0.586128,0.213854,0.700474,24.36,0
69878,0.062531,0.719724,0.810336,0.287936,0.180329,0.470048,-0.453114,-0.159324,-0.244664,0.125062,0.779662,-0.42423,0.197402,-0.220792,-0.059445,-0.409832,0.49631,-0.11849,-0.152258,0.815771,-0.457233,-0.010258,-0.34395,1.189498,0.323807,-0.634524,0.142115,0.861735,217.49,0
10447,-2.181405,-3.664118,-5.730696,3.552148,-3.082308,-1.618867,-1.250681,-1.472034,3.693802,5.651865,-4.465434,-6.598821,-1.797054,-3.608037,2.207719,-6.097056,-0.174008,-1.814709,-1.925318,-0.335657,-4.411695,3.41904,0.886934,0.312589,0.408166,0.19311,-1.590096,-0.23596,6720.22,1
79645,-0.026638,-0.041653,-0.698305,1.753984,-0.70742,-0.404325,0.437562,-0.818047,-0.316017,-1.198533,0.622192,-0.407936,0.027071,-0.612627,-0.356532,0.654252,-0.776504,0.973575,-0.073815,1.178523,0.563061,0.526558,0.451048,0.217031,0.196112,0.43545,-0.279823,1.280569,370.64,0
