Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
82293,-0.587694,-0.003383,-0.078515,0.452582,0.28214,-1.439747,-0.838225,-1.156292,0.844731,-0.86335,0.150895,0.333376,-0.690253,-0.350376,-0.158974,-0.633467,0.991791,-1.3206,0.580234,0.726901,0.292331,0.245327,-0.446247,-0.704667,0.244821,-1.34093,-0.192319,0.071716,278.01,0
72978,-1.037282,-0.618379,-0.704666,0.549179,-0.376475,0.307003,-0.363578,-0.012476,-1.120417,0.050578,-1.241865,-0.918354,-0.140309,0.03413,-0.855696,0.867696,-0.93937,0.053757,0.564778,0.528527,-0.155422,1.545949,0.063719,-0.963904,0.155865,0.383639,0.629247,0.631197,442.92,0
34648,-1.333413,-1.014769,-0.617933,0.023897,-0.165839,-0.512123,-0.671177,-0.047464,-0.206913,0.13137,0.643546,-0.199826,0.32994,0.020314,0.252099,1.118641,-0.410987,-0.137265,-0.008291,-0.069246,-0.896313,0.536703,-0.516073,0.562841,0.745928,-0.514884,0.613581,0.183824,27.54,0
76106,-0.318988,1.551766,0.807235,1.494157,-0.835703,-0.35133,0.582457,-0.47805,-0.075178,-0.324683,0.017641,-0.201627,-0.364147,-0.521441,-1.072467,0.417416,0.480896,0.789229,0.015269,0.609329,-0.382776,-1.059442,0.046336,0.599575,0.197639,0.189739,-0.988539,0.256447,459.87,0
52969,0.626684,0.081015,-0.221062,2.104053,-0.846557,0.504213,0.437635,0.023526,0.602207,-0.061263,-0.339693,-0.46223,-0.966803,0.576814,0.429518,-0.071612,0.589876,0.327107,-0.990382,-0.289559,0.529967,0.543305,0.217714,1.071967,-0.032234,0.076149,0.870715,-0.845874,474.83,0
73610,-0.17755,0.269663,-0.371566,1.552002,0.639076,0.868796,-0.830936,0.274621,1.099462,-0.382021,-0.878236,0.554724,0.913041,-0.080549,0.227823,0.367023,-0.243486,-0.579803,-0.86598,1.044819,0.785293,0.272019,0.38923,-0.034489,-1.051459,0.707847,1.172358,-0.204433,260.27,0
30305,0.784036,-0.123831,-1.263739,1.354035,0.119784,0.458729,-0.462051,0.130919,0.650122,-0.294662,0.670918,-0.422304,0.620472,-0.271303,0.274238,-0.588179,-0.647338,0.132527,-0.440582,-0.070608,-0.135416,0.014704,0.657188,0.740944,0.223997,-0.377247,1.191774,-0.488543,2430.85,0
81637,0.33944,-0.506387,-0.164433,0.061659,-0.238779,-0.93183,0.138892,-0.412468,0.580288,-0.406352,0.544384,0.336485,-0.675222,-0.360173,-0.564265,0.212471,-0.631796,-0.279051,-0.541486,0.100955,-0.824039,-0.566262,-0.11253,-0.239748,-0.230568,-0.82646,1.179991,0.544468,295.78,0
48934,0.638848,-0.23165,0.426937,0.19739,0.427908,-0.107595,-0.525007,-0.434004,-0.217752,-0.737609,-0.135302,0.785504,-0.656724,0.340785,0.020672,-0.732677,-0.420014,-0.604885,0.536487,-1.172959,0.503155,-0.034722,-0.021946,-0.328031,0.454482,-0.014153,0.174934,0.394222,245.83,0
48203,-2.27309,-0.555995,0.925766,0.726896,-0.415496,0.596441,0.102532,-0.803032,-0.399076,-0.410127,-0.962374,0.333223,0.895815,-0.145211,0.148922,-0.731241,-0.420517,0.407508,0.078348,0.211765,-0.47684,-0.306241,0.546,-0.121036,0.300432,1.110067,-0.21895,-0.433114,2712.54,0
