Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
32113,0.819061,-0.198411,-1.183502,0.610409,-0.812403,0.12586,-0.884503,0.061189,0.248742,0.202515,0.836808,-0.212001,0.410719,-0.538777,0.311308,0.301988,-0.115307,0.105337,0.217358,1.595659,0.411778,0.541675,-0.174899,0.377148,0.369655,-0.097358,0.664165,0.077143,24.78,0
41671,-1.22399,0.24461,0.083641,1.280315,0.293617,-0.039735,-0.3782,-0.418302,1.002827,-1.02038,0.663516,0.103297,0.196976,-0.374221,0.385118,0.459057,-0.10321,-0.527388,0.312269,-0.541809,-0.512919,0.449661,-0.670632,-0.381412,-0.539931,0.166658,-0.505367,-0.460302,492.8,0
68340,-0.597477,-0.295361,-0.163265,-0.010088,-0.37673,0.557401,0.373296,-0.480339,-0.261829,-1.003329,-0.410355,0.473127,-0.109644,-0.006045,0.205861,-0.370655,-0.288796,-0.531437,1.1253,0.188696,-0.453997,-0.428815,-0.120085,0.980692,1.19895,0.651949,-0.535191,-0.730449,470.96,0
72482,1.015204,0.080531,0.212991,0.797416,0.207432,0.349701,0.477964,-0.280289,0.234929,-0.440921,-0.35335,1.26588,1.027547,0.264538,-0.952351,-0.590291,0.00504,-0.28503,-0.103938,-0.025598,-0.29441,0.298575,1.370597,-0.539121,-0.617774,0.594913,-0.519018,-0.331242,44.31,0
31085,-0.850214,1.350148,-2.152427,0.230843,0.911461,0.752099,0.067004,-0.499132,-1.222716,-0.454624,1.145497,0.512288,-0.677247,-1.253237,0.395675,0.446858,-0.46765,0.618202,-0.641036,0.018589,-0.068905,-0.964469,-0.175539,-0.337259,-0.348119,-0.358296,-0.624121,-0.827598,334.65,0
84814,-0.670071,0.859696,-0.404797,0.56008,0.020964,-0.567795,-0.464301,0.757602,0.840657,-0.21854,0.314495,1.026841,0.86877,-0.342211,0.790773,0.126556,-0.630123,0.530165,-0.199314,0.080322,1.216077,0.064537,-0.248309,0.671652,-0.046992,-0.244597,-0.573699,-0.456457,1462.67,0
44585,0.512775,0.86986,-0.40962,0.201434,1.140761,0.531281,1.162051,-0.710351,-1.081446,-0.427844,-0.162803,0.041915,1.16119,-1.108004,1.550958,-0.610904,-1.00966,-0.823933,0.260805,-0.845477,-0.81495,0.601651,-0.335177,0.161833,1.193837,-0.049186,0.117091,0.252474,109.2,0
40148,-1.392191,-0.027406,0.373804,1.004982,-0.362168,0.317326,-0.461767,-0.01548,0.308993,-0.60108,0.178357,0.515757,0.24382,-0.415419,0.613611,0.320989,-0.18261,0.384111,0.56001,0.174916,-0.079289,-0.041173,0.270846,-0.310467,-0.154192,0.459109,-0.127617,-0.64794,346.59,0
60477,-1.242526,-0.190236,0.708556,0.889634,-0.021932,-0.334137,-0.565144,-0.570265,0.443618,-0.232409,-1.075392,0.798391,0.246057,-0.389016,0.694839,0.150322,0.189092,0.1576,-0.11541,-0.827564,-0.535789,-0.339135,0.218458,-0.789145,-0.870098,0.219119,-1.573565,0.079169,6.19,0
49437,-1.11868,0.491671,-0.326655,0.307524,0.228484,0.012465,0.303952,-1.360696,0.121464,0.203373,0.881849,-0.469831,0.562108,-0.225872,0.006886,1.305795,0.936966,0.372873,-0.668539,-0.346762,-0.725668,-0.259483,-0.017239,0.127316,-0.771641,0.388097,0.16703,0.096525,111.86,0
29080,-0.662578,-0.186028,0.374337,0.222505,0.311326,-0.170434,-1.566123,-0.252016,0.115845,0.118794,0.665733,0.502419,-0.654484,0.250842,-0.742914,-0.782874,-0.876679,0.279473,-0.374565,-0.72371,-0.002367,-0.108259,-0.881969,-0.285539,0.630298,-0.158117,0.292755,-0.003005,432.05,0
60373,-1.125819,-0.573966,0.072076,1.385591,-0.06172,0.681873,-0.11562,0.051405,0.110802,0.004599,0.300023,1.08764,0.705584,0.315583,0.41266,1.308247,0.241685,-0.725723,-0.344085,0.419516,-0.785411,0.67585,-0.069209,0.588892,-0.856527,0.431539,0.112031,-0.017999,292.03,0
60209,-0.530341,0.8031,0.050385,0.984248,-1.180154,-1.125588,-0.061357,0.153389,-0.791243,-0.576957,0.421834,1.157061,-0.628861,-1.046834,0.019,-0.190783,-0.557612,0.471519,-1.199271,0.890372,-0.758064,-1.138849,-0.144601,-0.649831,0.461307,0.357607,-1.156012,0.125069,2489.34,0
83236,-0.234949,1.007712,-0.469478,0.533668,0.792649,1.028153,0.492266,0.640898,-0.194569,-0.283448,0.296467,0.424044,-0.485568,-0.851918,0.104622,1.340551,-0.103492,-0.366349,0.477605,-0.906778,-0.499636,0.278278,-0.287335,0.60964,0.391321,-0.169552,0.520969,-0.172576,169.23,0
64225,0.690438,0.082623,0.529034,1.105047,-0.399185,-0.535877,-0.542963,0.498705,0.298703,-0.133547,-0.022172,0.087012,-0.593983,-0.214385,0.167652,0.139636,-0.833488,0.325631,0.283155,-0.8941,-0.063173,0.377532,0.546813,-1.020028,0.73167,-0.379462,0.31588,0.012873,1997.07,0
34156,0.545074,0.064352,1.34394,0.996598,1.255736,-0.196272,-0.414642,0.131656,0.555271,0.074231,0.278475,0.320265,0.145163,-0.022123,0.046936,0.590401,-0.341929,0.541846,-0.042274,0.938345,0.646505,1.025116,0.545496,-0.237477,0.018572,0.395471,-0.454632,0.139033,21.78,0
77918,-1.108944,0.13574,0.028824,0.645161,-0.004778,-0.202176,-0.581002,0.015456,0.291221,0.476674,0.746409,-0.473215,-0.68235,-0.108035,0.707121,-0.245107,-0.643084,0.823451,-0.606319,0.463496,0.196988,0.538899,-0.554439,-0.295239,-0.297126,0.251148,0.138752,0.761304,2681.93,0
72929,-1.620786,1.369239,0.752218,1.024778,-0.20195,-0.244818,-0.089493,-0.374446,-0.168786,-0.180463,-0.736136,1.423617,0.3687,-0.809192,-0.288454,-0.567053,0.714309,0.122589,0.629519,-0.07916,-0.174331,-0.264281,-0.366062,-0.249901,1.513405,-0.106999,0.104862,-0.762325,10157.1,0
60303,-0.567225,-0.191565,-0.020134,0.54514,0.304752,-0.525561,0.211441,-0.212181,0.318377,-0.124125,0.64626,0.462306,0.397836,0.109979,0.811235,-0.12404,-0.391393,-0.429568,0.729839,-0.777851,0.851709,0.354142,-0.298927,0.211648,-0.531838,0.664353,0.982181,-1.08349,2955.0,0
47560,-0.634456,-0.69864,0.035329,0.740589,0.622209,0.885795,0.232907,-0.714029,-0.273068,-0.723287,0.628715,0.121763,0.08756,0.146488,-0.219175,0.710586,0.183575,-0.188087,0.999094,0.445271,0.947517,0.818312,-0.199255,-0.153514,-0.665954,-0.287062,-0.149151,-0.578284,2778.79,0
79325,-0.631799,0.306879,0.737281,0.880918,-1.210288,-0.020069,-0.078282,-1.490035,1.061254,-0.386559,0.086078,-0.391746,-0.234113,-0.460511,-0.657529,-1.081551,-1.303409,-0.150463,-0.401422,-0.636905,-0.000793,0.84501,-0.391085,0.563275,-0.832557,-0.423439,-0.189696,-0.231192,660.8,0
85398,-1.160712,0.457396,-0.267099,0.756743,0.030646,-0.263184,-0.90826,-0.625205,0.661927,-0.61805,-0.801655,-0.694306,0.34275,-0.582375,0.42003,0.550879,0.706451,0.556988,-0.010319,1.016765,-1.020546,0.200817,0.015331,0.371087,0.247494,-1.173186,0.426539,1.043208,310.57,0
57545,-0.478905,-0.097665,-0.204425,1.467901,1.137361,0.630303,-1.003696,-0.414661,0.071788,-1.240081,0.078458,0.188073,-1.615074,0.485362,-0.724594,0.793061,-0.096929,-0.111039,0.256632,-0.164019,0.109381,0.789722,-0.475003,0.200651,0.872099,-0.244624,0.220427,-0.461057,96.98,0
59943,0.400617,0.926429,0.037899,0.783552,0.018973,-0.401475,1.396332,0.516447,0.324194,-0.214606,-0.214919,-0.778878,-0.119134,0.377095,-1.098809,-0.248713,-0.402255,-0.159484,0.017659,0.085315,0.357531,-0.323676,-0.418057,0.28888,0.796403,0.180175,0.130053,-0.281328,179.67,0
