Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
12118,5.227232,-3.201561,-2.679844,2.55999,0.73396,1.048551,5.17912,-0.36782,0.426792,-2.444154,-4.9302,-0.673889,2.754852,-5.793997,-2.643819,-0.909313,1.396562,-2.191184,0.725771,3.903122,-0.612977,0.566971,0.527402,0.117278,1.378766,-1.562861,0.996623,-0.128502,9009.71,1
2642,-4.042692,-2.243749,4.771632,2.438715,-2.325542,0.161819,-1.053413,-0.838684,0.464404,-2.210782,-2.174069,-3.272437,1.45783,-4.882016,-2.679693,2.875173,1.175102,-1.523643,3.085252,0.617585,-1.962106,-1.231986,-0.381019,-1.080681,1.181233,-1.840025,-1.382544,1.008954,3008.36,1
3034,2.313109,-4.674577,5.670809,3.419195,-1.879674,1.844842,1.654177,-2.084511,-1.67102,-3.675238,-4.444641,0.576076,-0.837976,5.161808,4.926429,-2.140021,-0.324405,3.039126,3.720605,0.466265,1.003216,-0.914964,-2.479711,-0.022318,5.061741,-1.764889,-1.135317,0.978258,3.46,1
60368,0.232009,0.060339,0.61644,0.934771,0.175496,-0.780162,-0.275314,-0.24402,0.591346,-0.432676,0.258523,-0.992931,-0.774778,-0.614278,0.412746,-0.158365,-0.266343,-0.111944,-0.038445,0.635891,-0.077754,0.346669,0.069224,-0.413275,0.267283,0.22743,0.044411,0.716515,33.9,0
64828,0.000222,1.56325,-1.428883,1.729155,-0.009009,-0.906386,0.152453,1.204146,-0.292776,-0.011714,0.117335,0.259464,-0.065753,0.151336,-0.542326,-1.684361,0.3,-0.376912,0.677546,0.083687,-1.162698,0.319361,0.861719,-0.412339,-0.810537,0.907139,-0.236436,-0.46799,30.2,0
54171,-1.31376,-0.142434,0.474435,1.480223,0.977653,0.381919,1.150173,0.05243,-0.35315,-0.406881,0.028536,0.610219,0.071386,-0.686469,-0.090138,0.351446,0.215612,-0.693101,-0.302933,-0.425442,0.46041,0.38789,-0.066753,-0.435861,0.304205,-0.43504,0.441807,-0.13275,18.65,0
74510,-0.047972,0.17869,0.449406,0.699793,-0.124531,-0.399841,0.129381,0.636114,-0.407938,0.005408,-0.831691,-0.213782,-0.285643,0.751574,-0.288917,-0.353805,0.697132,-0.431595,-0.308772,0.534542,0.236969,-0.459161,-0.821336,0.318566,-0.249115,-1.618368,-0.032802,-0.371708,14.64,0
71041,0.461823,0.376856,0.527289,1.451357,-0.092804,-0.410533,0.86365,-0.087105,0.434438,-0.169931,-0.84659,0.1774,-0.125397,-0.26967,0.737983,1.246821,0.272859,0.156998,-1.028393,-0.505691,0.063254,0.968993,-0.564275,-0.368115,0.371006,0.495482,0.586141,-0.349167,260.71,0
73459,0.062274,-0.968606,0.750432,0.969623,0.486724,-0.515813,-0.365645,-0.543154,-0.260198,-0.399109,-0.835152,0.525156,-1.105909,0.601179,0.044529,0.407682,0.18576,-0.558003,0.6006,0.041718,-0.696054,-0.649065,-0.040994,-0.513225,-0.121069,-0.787861,0.484003,0.827501,347.49,0
56776,-0.631375,1.006173,1.181411,1.235496,-0.221585,0.154735,-0.035349,0.298097,-0.49003,-0.860554,0.750557,0.093261,-0.555386,0.456029,0.83141,0.11001,0.02804,-1.140024,0.487126,-0.470227,-0.35026,0.30074,0.77433,-0.397298,-0.727114,1.170969,1.021287,0.305961,16.76,0
11820,4.028349,-4.555828,-4.607907,3.369813,-1.252031,0.086167,-0.476267,1.700462,-0.623877,-2.834335,-2.111698,0.235188,-0.740823,2.848785,-5.878311,0.002142,2.246347,1.040925,1.789806,0.370927,-1.41365,3.883513,-0.908223,-1.726611,3.578204,-2.176632,-1.112591,1.725388,25894.18,1
81089,-0.734694,0.207086,0.668112,1.021875,-0.647398,-0.171963,-0.236126,0.275452,0.093196,0.223396,0.18261,0.046286,-0.28058,-1.357379,0.738442,0.762341,-0.493009,0.131775,-0.706943,0.486348,0.185015,0.39858,-1.062876,0.103628,0.026254,-0.258409,0.369265,-0.777168,30.86,0
39610,-0.962371,-0.652744,-0.586934,1.099127,-0.666951,-0.319455,0.213408,-0.79701,-0.688083,-0.177351,0.845599,-0.771834,0.284028,-0.390663,0.006763,-0.192228,0.394602,0.313464,0.64861,0.469365,0.552615,0.070144,-0.161067,-0.039692,0.254987,-1.220054,0.696647,-0.597086,149.36,0
