Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
70198,0.532035,1.300684,0.125294,-0.301074,1.458614,0.531641,1.581269,-0.299956,0.471106,0.647482,0.063803,-0.325745,0.338141,1.215668,0.669852,1.124718,0.526718,0.547678,0.064577,0.674648,0.281862,0.68564,-1.264088,0.940467,-0.195225,-0.495287,0.499271,-0.680145,278.77,0
52679,-0.767643,1.69908,-0.420627,0.74782,-0.315207,-0.19187,-1.340689,0.56695,-0.29354,-0.505796,-0.987824,-0.397307,-0.296666,-0.429182,-1.491352,0.62821,0.484829,0.219715,0.229274,0.368691,-0.433245,-0.414059,0.831938,0.638984,-1.12695,-0.719808,0.088476,-0.311411,14.31,0
78200,-0.081906,-0.204544,0.228649,0.276577,-0.119031,-0.196726,0.459898,-0.146538,0.048336,-0.439244,-0.327235,0.123044,0.505649,0.992448,-0.024461,0.255083,-1.09232,-0.343445,0.698605,-0.540943,0.90977,0.093608,0.681954,1.105788,-0.135724,0.364955,0.733511,-0.386691,70.64,0
63674,0.541331,0.855957,0.490502,1.05824,0.962546,0.345714,-0.322909,-0.644498,-0.199932,-0.093297,-0.117556,-0.439066,0.431306,-1.073676,0.289742,0.216284,0.747006,0.794307,-0.594031,-0.171829,-0.358229,-0.631726,0.469527,-0.303869,-0.573882,0.633018,0.429043,0.89433,30.14,0
35558,-1.550503,-0.316804,-0.634742,0.974918,0.332956,-0.174268,-0.575362,-0.205522,0.270395,-0.554251,-0.089296,-0.316073,0.731604,-0.019929,-0.79209,0.279627,0.559812,0.193692,-0.301832,-0.446175,-0.484763,-1.106121,0.049357,-0.391378,0.069944,-0.108515,1.004931,-0.209499,1627.13,0
53290,-1.90801,0.087757,0.681673,0.492011,0.289452,-0.42938,0.024301,-1.50341,-0.672791,-0.154082,0.00446,-0.387763,0.335946,-0.259861,-0.497059,0.546721,0.138947,0.106658,-0.24179,-0.09702,-0.478183,0.02243,-0.764736,-0.983407,-0.774898,-0.239586,0.353003,-0.404038,1843.97,0
34538,0.277226,0.166989,-0.107706,1.204957,-0.089724,1.031624,0.109998,0.405252,-0.930699,0.333914,-0.327042,0.300341,0.345988,-0.578528,-0.177225,-0.465676,0.169299,0.855252,-0.60025,-0.362232,0.257055,0.160109,0.452734,0.724957,0.518232,0.153997,0.118881,-0.648798,1213.1,0
81381,-0.936343,0.104531,0.379186,0.622075,0.270147,-0.048401,0.495387,0.332703,-0.365444,0.474568,0.255661,0.236604,0.571662,-0.390246,-0.069286,0.014238,0.052817,-0.288935,-0.305268,0.428921,-0.981042,0.994371,-0.538257,-0.616812,0.946824,0.60875,-1.373415,-0.886168,337.09,0
65902,-0.366889,-0.687277,0.524535,1.20707,1.007301,0.498028,1.211593,-0.515462,0.199651,0.418321,1.173898,0.673563,-0.144651,-1.228791,-0.116205,0.181672,-0.46216,0.822699,-0.141203,-1.055998,0.583312,0.435958,-0.324619,-1.152485,-0.533907,0.235184,0.341024,-0.251694,422.26,0
51913,0.427682,1.131162,-0.410962,1.114762,-0.045198,-0.198982,-0.738919,-0.569619,0.766558,-0.532203,0.618682,0.227286,-0.19212,-0.42511,0.763859,-0.991781,0.299888,-0.054887,-0.666975,-0.292551,0.911428,-1.210395,-0.037655,0.11691,-0.455305,1.099434,-0.156227,-0.311619,31.47,0
61135,-0.537379,0.908859,-0.104688,0.366361,0.025187,-0.245722,0.318525,-0.64461,1.172864,-0.151781,-0.586693,-0.407228,-0.575719,-0.528006,-0.772665,-0.388847,0.611281,0.415306,0.575867,-0.056495,0.023772,0.77304,0.503872,0.071264,-0.187163,-0.022655,1.263786,-0.313512,13.65,0
45312,-2.798182,-0.177442,0.660413,1.119818,-0.604931,0.662483,-0.697118,0.545818,1.058786,0.254031,-0.252322,-1.235966,0.192916,-0.072794,0.257304,-0.015782,0.017082,-0.036211,0.015957,0.74797,0.298562,1.145321,-0.963384,-1.099805,0.079991,1.675195,0.380926,-0.030486,447.48,0
80499,0.39589,0.698417,0.496567,1.012633,0.16413,0.287765,-0.363434,-0.473805,0.433994,0.268171,0.910348,0.266278,1.512182,-1.417657,0.287987,0.341933,-0.704574,-0.244471,-0.566988,-0.768137,-0.691391,0.801638,-1.186165,0.37964,0.179701,-0.578042,-0.047417,-0.003928,150.18,0
69116,-0.99346,-0.602993,0.183672,0.241218,0.289858,-0.744623,-0.247472,1.243039,0.568876,0.018891,-0.304531,-0.160299,-0.35332,0.316826,0.694666,-0.367481,0.206444,-0.244923,1.066813,0.793771,-0.201973,0.510954,-0.62241,0.45703,-0.20063,-0.998295,-0.484984,0.725666,433.02,0
35919,-1.903733,-0.273241,-0.433374,0.534605,-0.781836,0.19928,-0.291499,0.834018,0.702375,-0.405425,-0.059847,0.111002,-1.132018,0.672109,-1.567707,-0.920793,0.756629,-0.532464,1.342074,-0.426744,1.178328,0.23599,0.761545,1.465108,0.074237,-0.561177,-0.226004,0.389824,332.35,0
71370,-0.097213,-0.923101,-0.778308,0.609828,-0.563072,-0.373428,-0.265081,-0.851914,0.495981,0.038369,0.244887,0.403673,0.924947,0.704141,0.328337,0.042512,-0.142835,0.182844,1.464294,0.173169,-0.294092,-0.303657,0.373702,0.502254,-0.54125,0.865704,-0.084906,-0.254623,1793.61,0
29195,1.794282,1.012312,-0.939324,1.493486,-1.297644,0.38998,0.167725,1.257076,0.367098,-0.205811,0.013172,-0.013109,0.356659,-0.398808,-0.943801,0.220344,-0.17022,1.298114,0.03196,0.763651,0.240887,1.012642,0.414353,-0.099942,-0.347736,-1.0251,1.013609,0.113938,14927.39,0
54133,-0.623255,0.507352,0.422637,0.423279,0.383939,-1.347296,0.795565,0.250924,0.441652,0.045847,-0.741474,-0.130754,-0.367827,-0.012447,0.443458,0.611513,-0.50312,-0.244029,-0.905628,-0.986749,-0.633915,-0.112976,-0.000342,0.190845,-0.255738,-0.186008,0.71924,-0.296551,440.27,0
74697,-1.119822,-0.108318,-0.615178,-0.252075,-0.261189,-1.022616,-0.510673,-0.00793,0.13296,0.167165,0.151721,1.177956,0.482004,-0.423624,-0.263719,-0.112353,-0.09323,0.43557,0.621742,-0.556819,0.272301,-0.895134,-0.411461,-0.611911,0.107298,-1.090784,0.698886,0.423209,32.08,0
78907,-0.31841,0.536041,0.213851,0.531464,0.34109,-0.253227,0.385644,-0.555624,-0.118,-0.506567,-0.890586,0.124673,0.558405,-0.305614,0.599433,-0.821302,-0.208023,-0.116513,-0.377779,-0.11907,-0.893434,-0.474007,0.279478,-0.949561,-0.468113,-0.195821,0.254215,-0.34481,152.21,0
83964,-1.382787,-0.220776,-0.550653,0.915373,0.258786,0.085011,-0.856669,-0.325709,0.44571,-0.279791,-0.89965,-0.126615,-1.576663,0.263896,-1.444252,1.443816,0.85306,-0.108172,0.418983,0.107181,0.243121,0.154242,0.112786,0.551225,0.159383,-0.226664,0.244172,-0.780884,1783.37,0
73680,-1.297759,1.067394,-0.100731,1.189287,0.937668,-0.089142,0.108535,-0.057508,-0.912122,0.086811,-0.450236,-0.643348,0.093548,-0.596864,0.765941,0.711554,-0.148555,0.335367,-0.088243,-0.97054,-0.316574,0.544113,0.343216,0.341432,0.647512,0.434071,-0.005368,0.421484,71.92,0
78218,-1.183962,1.70355,0.084931,1.203402,-0.505519,0.952679,-0.284582,0.522998,-0.560266,-0.037474,-0.581707,-0.225661,-0.184011,-0.068682,0.068788,-0.405728,-0.645514,0.778661,-0.17804,-0.251129,0.304867,-0.210017,0.604453,-1.00422,0.282079,0.540009,0.428762,-0.056783,36.26,0
61655,-0.508515,-0.53045,0.690852,0.142392,-0.608906,-0.121249,0.265335,-0.409952,-0.01906,0.434178,0.275205,0.772749,0.035462,1.190759,0.838731,-0.185391,0.123661,-0.599173,0.580102,-0.197901,0.000701,0.0857,0.10625,0.074673,-0.187054,0.536454,-0.227316,-1.379832,428.93,0
30117,-1.557167,0.650713,-1.122117,0.662699,0.02289,-0.63719,-0.162089,0.487902,0.605709,0.162773,0.382446,0.442392,-0.889963,-0.801414,-0.247627,0.779394,-0.626074,0.091285,-0.449114,0.70234,-0.851448,0.246972,0.43005,-0.108628,0.315009,-0.223998,-0.201912,0.063942,43.99,0
60360,-0.495066,0.141466,1.088591,0.170363,-0.477868,-0.905236,0.907437,0.999487,0.607615,-0.295234,-0.599763,0.777412,0.318544,0.711374,-0.179533,-0.844918,0.928474,0.053896,0.467565,-0.259231,-0.175644,0.599058,0.329327,-0.855869,-0.238578,-0.613935,-1.068365,-0.179904,1940.18,0
71247,-1.793394,0.657078,-0.335154,1.195934,0.741057,0.476041,0.142953,-0.228253,0.829399,-0.313477,0.98855,-0.273772,0.153788,-0.295161,0.061766,-0.26796,-0.179583,-0.375774,-0.578732,0.018109,-0.16992,0.208484,0.301816,-0.251414,-1.095805,0.50553,0.924804,-0.134668,1823.49,0
9330,-2.758555,-4.255959,-2.646834,5.089013,-3.366595,-2.688029,0.017575,0.228713,-4.632879,-5.804022,3.816416,-2.951458,-2.295842,-4.91536,4.223046,-2.237109,-3.189163,0.082044,-0.981971,-0.901686,-3.665156,0.256332,2.444377,0.507016,0.897159,-0.525152,-2.96578,4.19945,2.7,1
75237,0.23361,0.508687,-0.93934,0.815612,0.130983,-0.424792,-0.133498,-1.126376,0.861846,-0.51233,-0.271535,0.454228,-0.509543,-0.10605,-1.287665,0.383018,-0.074487,0.665609,0.377746,0.06958,0.324462,0.413086,0.313964,0.237861,-0.246504,0.248752,-1.082172,0.357944,343.53,0
9563,2.47183,5.252963,3.28795,4.120212,0.414532,-0.252719,-0.033181,1.728424,-2.006973,3.493978,-2.769576,0.277796,1.915628,-3.610313,-3.654746,2.740372,0.839355,-4.972734,1.078506,-0.890368,-0.417659,2.041039,0.159897,1.600711,0.597876,-1.598975,-0.924042,-4.867368,0.55,1
46340,-0.066721,0.062227,-0.393209,0.978814,0.52693,-0.787486,0.064711,-0.045604,-0.521925,-0.163875,-0.66295,-0.548483,0.449966,-0.902073,-0.268767,0.730115,-0.6849,-1.417875,-0.571861,-0.05222,0.539058,0.227894,0.925731,-0.008311,0.395651,-0.797624,0.125808,0.559194,12.12,0
71710,-0.226891,-1.008533,-0.149163,0.290518,1.325331,-0.627452,-0.09274,-0.095228,0.408327,-0.000374,-0.264355,0.135505,-0.418448,0.25542,-1.016677,0.758725,0.957713,-0.542158,-0.032981,1.739803,0.104791,0.417904,-0.448685,0.891971,-0.068987,0.803969,-0.278277,-0.576303,211.6,0
42332,-1.048191,-0.114465,0.141717,0.500035,-1.16809,0.958565,0.476196,0.59943,0.035614,-0.268785,0.103263,1.249007,0.459475,-0.578026,-0.222367,0.895188,-1.078701,-0.506508,0.760049,0.311572,0.560008,-0.218626,-0.446446,-0.253737,0.712337,-0.002182,1.112339,-0.310888,492.22,0
65777,0.310414,-0.654631,0.105278,0.273417,1.185451,-0.903083,-0.208818,0.07987,0.612588,-0.508584,0.860414,-0.750335,-0.626718,-0.578423,-0.282696,0.189046,0.055226,0.578919,-0.436436,0.705183,-0.020422,-0.222988,0.20688,-0.551913,-1.198975,0.31362,0.161015,-0.109253,448.42,0
50279,-1.514981,0.918987,0.717017,0.859177,0.860058,-0.687561,0.766944,0.203076,0.006701,0.369364,-0.416247,0.31297,-0.120909,0.533178,0.737896,0.854465,-0.228036,0.166005,0.264908,-0.538439,-0.24646,0.157848,0.101379,-1.105027,0.531883,0.068412,-0.818086,-0.672202,2110.42,0
84252,-0.78808,-0.170213,0.092285,1.712668,0.521038,0.198289,0.506914,1.064148,0.253532,-0.211274,-0.728105,-0.597891,-0.240579,0.695833,0.256224,-0.088894,0.792355,-0.021024,0.233134,0.844269,-0.891073,0.689435,-0.530116,0.478171,0.295161,-1.114998,-0.777708,1.423937,34.62,0
45779,-0.067284,0.573043,-0.481077,1.284628,0.48572,-0.704054,0.444281,1.283106,-0.291884,0.280751,-0.238885,-0.172461,0.636361,-0.907836,0.388098,-1.032978,-0.646944,-0.705583,0.52795,-0.460506,0.7542,-0.896988,-0.553496,0.302461,-0.323904,-0.120873,0.102962,-0.442337,180.82,0
58042,-1.009832,0.467272,0.45638,0.039297,-0.440304,0.983088,0.323752,-0.685417,0.577479,-0.46953,0.282481,-1.000045,0.376423,0.02757,1.498951,-0.085558,-0.068893,-0.058582,-0.278878,-0.948711,-0.385944,-0.705267,0.298333,-0.55551,-0.267495,-0.587517,-0.100446,-0.091071,304.52,0
62171,-0.902068,0.214444,0.779444,0.662255,0.32921,-0.626402,-0.387642,-1.254841,-0.427324,-0.150749,-0.324143,0.04768,0.582833,-0.775746,-0.042906,0.076908,0.124686,-0.043158,1.130376,-0.030952,0.056476,0.64245,0.487477,0.709138,-0.300053,-0.232407,0.468277,0.529687,607.27,0
75128,-1.195981,0.526477,-0.293776,1.889682,0.200714,0.340071,-0.912466,0.399275,0.467738,0.265174,-0.452201,-0.224138,1.426688,-0.307448,0.508869,0.705287,-0.200929,0.231766,0.037371,0.481968,-0.042577,0.470185,-1.207175,-0.110981,-0.039598,-0.665672,0.360674,1.358136,7965.69,0
52388,-0.402935,1.374374,0.7509,1.517317,-0.107985,0.446394,0.199865,-0.418439,-0.30041,0.265298,0.451227,-0.45901,-0.010415,0.967461,-0.686446,0.613027,-0.261574,-0.116588,-0.761516,-0.891857,-0.070119,0.38254,0.259435,0.18541,0.976911,0.999493,-0.71174,0.180246,1294.39,0
65009,-0.438924,0.277863,-0.027571,0.658822,0.39634,-0.655178,0.980963,0.60565,1.546355,-0.636995,-1.685474,-0.734882,-0.811608,0.24946,-0.125934,1.042485,-0.048823,-0.032815,0.324507,-0.068751,-0.277241,-0.536567,-0.391211,-0.119446,-1.067765,-0.054395,-0.369771,-0.14623,6.7,0
47087,-0.362203,0.544973,0.012303,0.858099,-0.49823,0.339277,0.595375,0.531783,0.473965,-0.318353,0.183457,0.02791,-0.634258,-0.013196,-1.014678,0.163158,0.517348,-0.025712,-0.04564,1.020556,-0.091468,1.11456,-0.418144,0.602236,0.868241,-0.042322,0.591605,-0.151799,811.38,0
37316,-1.322074,-0.146937,0.119888,1.389754,0.068264,-0.047331,0.953958,0.239815,0.198895,-0.190845,0.640627,0.667716,0.166932,0.610632,-0.07298,0.009635,0.57702,0.106122,0.239097,0.648498,-0.523822,0.035951,-0.103872,0.665962,-0.329329,0.21036,0.063391,0.012741,2.45,0
48685,-0.190889,0.137224,-0.90695,0.72255,0.276268,-0.551614,0.275682,0.307008,-0.008678,-0.058285,0.301005,0.008891,-0.443671,-0.112928,-0.377913,-0.719533,-0.58986,-0.827572,0.211703,-0.298477,-0.621347,-0.271002,-0.532462,0.450262,1.044438,0.404093,-0.468662,-0.737687,14.9,0
45688,-1.18833,0.622034,0.228054,0.688466,1.373407,0.061624,-0.84906,0.454292,1.110955,0.486887,-0.275729,-0.121181,0.271037,-0.370879,-0.405373,0.202908,0.413932,0.278051,-0.827305,0.396578,-1.492577,-1.368294,-0.547669,-0.3232,0.525903,1.48138,0.120907,0.049085,28.27,0
48363,-0.372785,-0.129081,0.962517,1.384987,-0.475764,-0.135523,-0.463496,-0.191071,1.234445,-0.316017,-1.351571,-0.695568,-0.23671,0.294278,-0.140924,-0.289764,0.12344,0.634317,-0.778469,0.04707,-1.991545,-0.379462,1.492315,-0.825654,0.274649,-0.609299,0.554229,-0.620125,30.13,0
65439,0.8907,0.430954,0.059653,0.502453,0.201024,0.379451,-0.514711,-0.578066,-0.230861,0.689461,-0.615136,0.506837,-0.140768,0.057108,1.679804,-0.684986,-0.104255,0.372161,-0.478369,0.75102,-0.417118,-0.327071,0.053608,-0.269923,1.334788,0.255458,0.421603,0.163059,1408.24,0
57526,-1.085644,1.292076,0.207242,0.190208,-0.741776,0.009069,0.802128,-0.47372,-0.563989,0.190842,-0.448765,-0.025402,0.046224,0.213163,0.045377,0.073587,-0.830987,0.591718,-0.078039,0.27059,-0.505957,0.515947,-0.954698,1.04842,0.422017,0.639569,-0.222151,-0.606849,2633.55,0
54839,0.410708,0.442396,0.14163,1.066793,-0.6254,0.273696,0.043324,0.206069,-0.708831,-0.417417,-0.164979,-0.545091,-0.468804,1.581123,0.704486,-0.332825,1.431967,0.013494,0.017085,-0.123299,-1.842659,0.579845,0.974757,0.076028,-0.01555,0.055982,-0.02718,0.187363,321.29,0
55450,-1.142584,0.011262,0.661517,0.501444,0.210499,1.114433,0.7484,0.353288,0.714391,0.274596,-0.123189,-0.899813,-0.075284,0.395468,0.801043,0.820599,-0.97519,0.137123,0.145432,-0.067316,-0.35017,0.075153,-0.426234,-0.200298,0.341551,0.889519,0.984107,-0.619728,451.87,0
85956,0.729113,-0.451752,1.437551,0.659321,-0.321313,-0.094614,-0.282348,-0.350781,-0.447856,-0.700614,0.607336,-1.08122,0.135826,-0.214045,-0.328659,1.084191,-0.089253,0.265933,-0.460698,-0.623394,-0.171767,0.005885,0.077569,-0.013475,0.94121,-0.797095,0.357685,1.316548,2285.12,0
51338,-0.227063,0.408564,-0.575645,1.215051,-0.28162,-0.031288,-1.002904,0.102679,0.069574,0.707623,0.450126,-0.460552,-0.178823,0.139384,-0.647102,-0.847789,-0.005753,0.18532,0.140314,0.493344,0.101803,-0.646075,-0.480337,0.200951,0.285292,-0.197281,0.470651,0.754658,42.37,0
60987,-0.501055,-0.064567,0.765161,0.955239,0.540638,-0.175515,0.060798,0.182006,0.20774,0.199232,-0.469633,0.338417,-0.863841,0.615535,-1.36285,-0.221083,0.104645,-0.330631,-0.445141,-0.206074,-1.782876,-0.745208,0.167998,-0.341205,0.401131,-0.116067,0.147925,0.278903,856.14,0
30709,0.267719,0.3351,-0.061379,0.854774,-0.85395,-0.162634,0.766387,-0.134104,0.236913,-0.006385,-0.632005,-0.18448,-0.084176,0.02677,1.145028,0.468216,-0.672577,-0.615177,-0.10301,-0.969739,1.56591,0.063809,0.521319,0.808638,-0.583005,0.042976,0.461471,0.461532,413.05,0
62334,-0.129536,0.644742,0.906616,0.923211,0.998107,-0.221967,-0.152491,-0.32862,0.188798,0.062348,-0.22977,-0.259733,0.095949,1.254431,0.333115,-0.123449,-1.054449,1.384805,0.37128,-0.443274,-0.664615,0.113943,-0.069655,-0.248089,0.62035,0.678485,-0.58673,-0.639266,307.1,0
53496,0.788855,0.433994,0.210938,0.171956,1.228407,-0.009594,-0.221302,0.761417,0.075186,-0.047928,0.309997,0.951994,-0.510647,0.713635,-0.460314,-0.332111,-0.484517,0.225292,0.371161,-1.242243,0.131624,1.202435,0.040434,-0.033992,-0.789793,0.300379,-0.035423,0.238085,28.5,0
70892,-0.176162,-0.889984,-0.839514,0.915196,-0.186686,0.423619,-0.293443,0.979178,0.600842,-0.154606,0.102889,0.092495,0.550721,-0.188354,-0.671241,-0.319606,0.260198,-0.008385,-0.371076,-0.093345,-0.77968,-0.034628,-0.063851,1.138681,-0.939312,-0.103249,-0.530291,-0.675961,12.4,0
58823,-0.237694,-0.82801,-1.139052,0.410249,-0.062999,-0.52129,0.536616,0.262322,0.609834,0.190216,-0.236268,0.71194,0.627948,0.425507,0.047758,0.196329,1.000803,0.080253,-0.196886,1.22431,0.072188,-0.659999,0.133451,-1.069932,-0.511416,0.13354,-0.016254,-0.177879,321.17,0
72454,0.590948,-0.573099,0.458418,0.602923,-0.356919,-0.27744,-0.708267,-0.61981,0.578342,-0.426714,0.129635,-0.749743,0.623025,-0.241414,-0.369037,0.297926,0.744288,0.84644,-0.090639,0.506453,-0.146213,0.669397,-0.027432,-0.028293,-0.347894,-0.060858,-0.473124,0.495913,281.94,0
68392,-0.089731,0.372227,0.804919,-0.049607,-0.347791,0.604331,-1.767689,-0.759331,0.577786,-0.091677,0.92869,-0.023887,-0.041813,0.62032,0.212928,-0.744766,0.2984,-0.378949,0.436985,0.048526,0.235841,-0.941192,-0.641019,-0.905323,-0.431514,0.69848,0.246587,0.472054,272.48,0
73243,0.25702,-0.511656,-0.312622,1.791937,0.049456,-0.211021,-1.647351,0.196842,0.246176,-0.410397,-0.845496,0.774879,0.941688,-0.81405,0.678583,-0.112621,0.068367,-0.135275,-1.697685,-0.156862,0.916402,-0.85527,0.921461,0.16047,0.577704,0.012434,0.002541,-0.297634,423.57,0
84606,-0.850689,-0.335917,-1.167471,0.699027,-0.635186,0.179089,-0.174888,-0.698052,-0.075205,0.091863,0.507835,0.61079,0.192712,0.17353,0.52919,-0.941958,1.177371,0.439446,0.293308,-0.722364,-0.575872,-0.379549,-0.832508,1.257402,-0.03354,-0.18862,-0.719664,-0.583847,450.75,0
45278,-1.749266,0.068849,0.636165,0.884343,0.163758,0.40289,0.545043,-0.451453,0.050361,-0.560404,-0.156176,-0.125733,-0.243061,0.166781,0.161499,0.05467,1.054691,0.601074,0.171636,0.919942,-0.203254,-0.570846,-0.348042,-1.248392,0.133427,0.374755,-0.369252,0.434286,624.18,0
35950,1.661485,-0.400232,-0.206279,1.56047,-0.537782,0.612957,-1.195551,-0.297113,-0.311902,-0.537842,1.127608,-0.581116,1.045553,-1.115109,0.634559,-0.37863,-0.518791,0.744837,0.548124,-0.825003,0.28468,-0.36482,-0.188643,0.078046,0.257456,0.168068,0.71236,-0.192182,793.5,0
76704,-0.401955,-0.719856,0.016729,0.514047,0.10976,-0.02279,0.012047,-0.462363,-0.169584,0.069828,0.389634,-0.473189,0.50851,0.47296,0.431436,-0.95918,0.505384,0.214468,0.043192,-0.143355,-0.073157,0.062254,0.772716,0.572404,0.358333,0.636583,-0.093259,0.407983,9304.64,0
49088,-0.574296,0.809438,0.062372,1.923291,0.090314,-0.465344,-0.172335,-0.433762,1.033618,-0.063798,-0.427696,0.248847,-0.745486,-1.637474,1.11317,-0.297465,-0.616784,-0.627181,0.297483,0.843315,0.34178,0.239187,0.647038,0.361897,-0.395679,-0.111062,-0.167405,-0.355454,166.8,0
72335,-1.89085,1.528294,-0.121296,0.944789,0.012037,-0.40228,-0.284068,1.639303,1.178092,0.408157,0.157663,0.969742,-0.210288,0.115495,-0.175119,-0.314226,0.154585,-0.91709,0.244061,0.303543,0.746397,0.693219,1.064137,-0.207173,0.440179,-0.315946,-0.12452,0.048782,13.41,0
51263,-1.133978,0.120605,1.883341,0.729545,0.25173,0.357459,-0.555409,-0.004145,-0.048003,-0.214757,0.140446,0.067533,0.659488,1.219796,1.298187,-0.902464,-0.752327,0.736672,0.797625,-0.511226,0.640049,0.471267,-0.473716,-0.147059,-0.126267,0.095343,0.189135,1.195624,201.26,0
28927,-0.770241,0.095727,-0.447776,0.826823,-0.10966,-0.128044,0.268758,0.469588,0.344231,-0.533143,-0.161206,0.927719,-0.890075,0.098039,0.315292,1.167253,0.71351,-0.210188,0.152964,0.166836,-0.814232,-0.458943,-0.274277,0.831583,0.25007,0.128663,-0.443057,-0.291079,3419.08,0
68430,-0.820303,0.914342,0.340137,0.95519,0.427287,-0.542883,0.405709,0.617594,-0.122393,0.354273,0.415819,-0.74,1.02748,-0.244412,0.2959,-0.382985,0.486144,0.167165,-0.280443,0.531782,0.449708,-0.195858,0.062307,1.178931,0.921281,-0.316832,0.811293,0.08196,6682.63,0
33578,-0.148626,0.011518,0.754914,0.973582,0.474602,-0.021356,0.225172,1.039535,1.554673,0.040573,0.095121,-0.505907,-0.674003,0.376553,-0.01806,0.120898,-0.962815,-0.951987,0.592811,-0.937964,-0.124914,-0.900034,0.305847,0.266116,0.063638,1.109661,-0.463537,0.007826,420.47,0
37978,-0.673052,1.044704,0.138365,-0.113462,0.714589,0.331541,-0.063894,-1.064193,0.729918,0.354922,-0.358636,-0.509806,0.234851,0.257438,0.463182,-0.327797,0.068328,-0.643154,-0.097729,0.0155,-0.097805,-0.63823,1.071807,-0.42515,0.077373,0.831149,0.502212,0.155592,2.5,0
47546,0.881209,-0.348151,0.85806,1.120219,0.337299,0.788376,0.410094,-0.265319,0.029163,-0.280724,-0.634915,0.242739,0.678398,-0.447742,0.485592,-0.999465,0.333747,0.017456,-0.556076,0.375367,0.201517,0.558337,-0.081741,0.371908,0.294724,-0.373038,-1.082978,-0.339145,1719.89,0
69486,0.858797,0.463541,-0.222171,1.323404,-1.240149,0.649652,0.849114,0.89187,0.200653,0.616023,0.358849,0.347431,0.183535,-0.105317,0.722734,0.001492,0.550636,-0.429169,0.48307,-0.473717,-0.134599,-0.475072,0.272011,0.716046,0.328444,-0.53784,0.912881,-0.48443,302.13,0
51864,-0.732554,0.160079,1.515011,0.754136,-0.452958,0.359114,0.210143,-0.060784,0.793886,-0.431805,-0.72864,0.52899,1.003274,-0.334622,-0.260151,1.152444,-0.966031,0.409277,0.359436,-0.001983,-0.049147,1.355329,-0.1673,-0.476347,0.719274,0.330532,0.692957,0.09729,8177.18,0
80062,-0.383844,0.648231,0.618973,0.359521,0.545738,-0.453369,-1.820499,-0.827086,1.800065,-0.231834,0.154591,-0.510944,-0.336863,-0.080789,-0.080917,-0.378812,-0.506684,-0.400858,0.617517,0.338836,0.215925,-0.309379,-1.595253,0.672498,-0.167012,-0.180518,0.823863,0.056014,303.91,0
