Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
58239,0.00639,0.377141,-0.380814,0.972391,-0.685188,-0.424997,-0.030228,-0.862977,0.170665,0.122163,0.600189,-0.337437,-0.737853,-0.291457,-0.107297,-2.483162,-0.693673,-1.66987,-0.059605,0.372792,-0.022038,-0.034737,0.087512,-2.051013,1.406252,-0.317984,0.187209,-0.428712,345.26,0
13928,-3.710701,-5.186503,-4.45756,-5.145735,-0.847408,-2.537005,2.252467,-2.530445,-2.426837,3.092444,3.401011,0.942448,0.512371,-5.207705,-5.979969,-2.08231,3.496074,-0.384042,-0.647016,0.039928,-0.288544,-2.532903,0.544847,-0.342115,0.61429,-1.580998,0.528244,-1.852399,8210.86,1
4664,4.68619,3.923388,-5.179676,2.528767,0.893075,-0.350383,-5.843297,-0.984233,-1.189662,3.294253,-3.649896,-1.2492,-2.024062,-5.752595,3.775182,2.421508,-1.43232,-2.398149,1.551003,2.048677,-1.753089,1.196547,-0.452035,-0.957635,-0.204691,-2.784171,0.348368,0.641621,7715.94,1
8362,5.020866,-4.946696,2.438942,-3.194798,-2.061275,-1.547442,0.516669,0.632143,-1.188612,3.867277,5.706135,0.596671,1.466267,-2.307908,3.25278,3.117051,2.579768,1.379615,-2.829262,-3.493392,-0.289402,-2.517268,-2.038304,-0.279384,0.116066,2.520038,-1.246053,2.756536,10019.05,1
69343,-0.708533,-0.698326,-0.036334,0.626622,-0.285808,-0.356936,-0.656126,0.866682,-0.114246,-0.390802,0.739657,0.303856,0.190613,0.791599,-0.099444,-0.158113,0.440124,-0.757078,1.809207,0.682299,-0.395867,0.331293,0.39115,-0.559583,-0.655666,0.001161,0.662912,-0.317792,1002.35,0
73839,-0.076651,-0.969201,-0.53364,1.301845,-0.438239,-1.023224,-0.436108,-0.772459,-0.641036,-0.267467,0.114572,0.11128,0.027833,-0.102416,0.944948,-0.176891,-0.027662,-0.786832,1.358698,0.068537,0.458184,0.69029,-0.475685,-0.928465,-0.064111,0.041367,-0.223271,-0.113222,2764.66,0
85683,-2.320937,0.632289,0.06679,0.695136,-0.605009,-0.260465,-0.170703,1.118619,0.661384,0.680347,0.23931,-0.252413,-0.597765,-0.003603,0.183847,0.066586,0.387334,0.188401,-0.444335,-0.448131,1.248929,-0.592985,0.347703,0.235836,-0.501481,-0.893489,-0.47928,0.152674,324.69,0
13877,4.598801,3.446291,5.607375,-3.644777,1.169338,0.742921,-3.256598,-0.504492,-1.672568,5.238085,-4.158189,2.660947,1.027929,4.879282,2.779745,1.731266,1.579654,0.977866,-0.099019,1.420662,-0.590996,-1.328346,-1.486343,-2.914841,-0.249403,2.055318,1.359933,-1.456738,8021.37,1
50205,-0.248243,0.153,-0.437686,0.748603,-0.74679,0.326174,1.456877,-0.587732,-0.521912,-0.961663,-0.401292,0.26054,0.508683,-0.734465,-0.207261,0.848938,0.09541,-0.63471,-0.100238,-0.463909,-0.533918,0.668293,1.307601,-0.258439,-0.052595,-0.282485,-0.598498,0.074385,9140.78,0
62370,-0.842195,0.485459,-0.000995,0.809298,-0.01606,-0.318105,0.706755,0.002666,-0.60347,-0.656379,0.173853,0.684025,0.272773,-0.133706,0.549144,-0.155789,-0.002709,-0.144416,0.063756,-0.440539,0.495918,-1.21207,0.893104,0.086563,0.701813,0.37173,0.586591,-0.352694,2781.18,0
