Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
56376,-0.183942,0.264593,0.399739,0.510786,-0.68612,-1.083919,1.23241,0.889572,-0.094012,-0.270734,0.097196,0.201704,0.736438,-0.670753,1.324283,0.963735,0.039449,0.595952,0.831461,0.078498,0.116754,-0.466469,1.223022,0.299431,1.128557,-0.414509,-0.067285,0.088989,489.55,0
48598,-0.867874,-0.086865,1.161281,2.175002,-0.047683,0.501998,0.473463,-0.080744,0.058954,-0.614432,-0.715441,-0.675055,-0.017726,-0.69441,0.696815,0.870366,0.472064,-0.518856,-0.868402,-0.223169,-0.240028,-0.167357,0.439525,0.196232,-0.568371,-0.036097,-0.135337,0.38443,472.88,0
73184,-0.878241,-0.052453,0.703909,1.81827,-0.530051,0.268652,0.408361,0.975159,-0.372036,-0.391532,0.399825,-0.676499,0.028123,0.601209,-0.017005,0.321478,-0.035627,-0.044947,0.724683,-0.25219,-0.334597,0.02607,-0.23142,0.745554,-0.162759,-0.299113,-1.086952,-0.056826,370.62,0
59842,-1.426738,0.229348,1.154231,1.591492,0.551457,-0.560631,-0.444121,0.625516,0.037674,-0.364949,0.039342,0.488593,-0.897359,0.789857,0.512762,0.167018,-1.088126,0.412483,0.689111,0.004298,0.707848,0.211061,-0.509253,-0.825822,0.649627,-0.659799,-0.563307,-0.331987,408.33,0
65880,0.127553,-0.248787,1.760458,1.182,0.439745,-0.472362,0.142346,0.554446,-1.217766,-0.863664,-0.292434,0.365227,-0.419847,0.458965,-0.037187,0.106192,-0.175419,0.273315,-0.267801,0.037064,1.09323,1.1471,-0.703168,0.583565,-0.598448,-0.174679,-0.029224,0.173665,7073.25,0
49166,1.484924,0.044823,1.03041,0.64633,-0.017388,0.037828,-0.029335,-0.144841,0.581527,-0.032326,-0.285364,-0.119041,0.107481,-0.421401,0.488492,-0.554105,0.951954,0.908335,-0.299633,-0.303459,-0.281509,0.159779,0.58925,-0.576118,0.448817,0.256995,-0.775421,0.582579,24.84,0
52215,-1.792175,-0.485049,-0.189292,0.863337,0.104503,-0.119173,0.360753,0.135776,-0.077042,-0.005442,0.158994,-0.004431,0.566929,-0.62802,-0.239033,-0.07121,-0.178536,0.104813,0.876872,-0.049826,-0.333143,-0.231049,0.951757,0.257835,-1.103503,1.299728,-0.777309,-0.171131,2106.88,0
78822,-1.179803,-0.174672,-1.576964,0.125989,-0.630202,-0.207522,-0.665281,0.595506,-1.132281,0.119534,0.55917,0.090438,-0.248712,1.381346,-0.653022,0.090571,-0.520028,-0.335139,-0.320737,1.261212,0.776983,0.342505,-0.75111,-0.627014,-0.263409,-0.976064,-0.197175,-1.736457,7945.55,0
67785,-1.191629,0.07992,-0.262676,1.163238,-0.349201,0.790134,0.111655,0.12366,-0.499773,-0.164228,-0.340756,0.966858,0.305683,0.749897,-0.420953,-0.561177,0.304316,0.647834,-0.168374,-0.853209,-0.173404,-0.065422,0.374995,-1.015309,0.365916,0.761636,0.630085,1.227548,13525.07,0
67373,-0.686287,-0.392466,-1.411961,0.318832,-0.677337,-0.257255,1.29334,-0.552619,0.972145,0.088237,-0.258247,-0.678877,0.108845,0.866705,0.272015,-0.345209,0.505366,0.301809,-0.048944,0.374268,-0.16523,0.664814,-0.074197,-0.39642,0.145847,-0.066755,0.971468,-0.338776,25.05,0
83939,0.46998,-0.604865,0.570831,0.791428,1.474302,0.623685,-0.041897,-0.046674,-0.342733,-0.596345,-0.530661,0.632421,-0.058901,1.013597,-0.353743,0.641974,0.208056,0.276159,-0.323483,0.782817,-0.268157,0.381215,-0.347243,0.809633,0.089441,0.285802,-0.144355,0.227499,281.24,0
283,-3.903818,3.188468,-4.001779,-5.382035,0.43439,0.38632,1.297081,1.440377,-1.660244,4.497549,5.615407,-1.529034,-1.577123,2.412325,4.652291,0.579045,2.573038,0.682791,-1.113608,-0.948771,0.057282,0.265159,0.081647,1.08926,-2.301395,1.020451,2.267744,1.643863,17838.83,1
13648,4.943748,2.661277,-3.038676,4.446001,-1.275457,-0.240649,0.993625,1.16301,-1.438149,-2.72661,4.517383,-1.364913,1.653244,-4.435446,-5.52033,-0.427797,0.385111,0.366526,1.492007,-3.608454,-0.783165,-4.039232,-0.443224,1.805721,-0.840883,1.672633,-1.98818,-0.140013,3229.83,1
7262,-3.446917,-3.265488,5.822206,2.3915,2.550475,0.42126,3.080103,0.39544,2.052518,-4.904031,-2.751504,2.972378,-1.422227,5.974891,2.057668,-2.079459,-0.462873,0.458805,4.173309,1.275419,0.951277,0.118713,-0.677073,0.678442,0.068052,1.110513,-0.433702,0.815712,7004.97,1
55089,-0.632803,-0.389852,-0.238076,1.998576,-0.191446,-0.085775,-0.825453,0.446639,-0.223932,-0.111096,0.166267,0.34433,-0.354491,0.162595,0.043695,0.006474,0.607144,-0.212319,0.482871,-1.227055,0.684376,0.042405,0.513336,0.780008,-0.632583,0.422118,0.895304,-0.348876,28.5,0
71290,-2.189379,0.666538,-0.238085,0.607561,0.291334,0.403913,0.255503,0.088118,0.119065,-0.182026,0.063048,-0.058013,-0.72258,-0.191633,-0.207889,0.116867,-0.271636,-0.081985,-0.355538,0.40595,0.656132,-0.967905,-1.068631,-0.174612,-0.528198,0.225522,0.765171,0.337732,210.44,0
34524,-0.441303,0.303582,-0.481511,0.943973,-1.659361,1.092514,0.11332,-0.908978,0.133101,0.274346,-0.089179,-0.304732,-0.129437,0.067363,-0.068935,0.973093,-0.611823,-0.879203,-0.404676,-0.456708,0.006806,1.025121,0.547899,-0.111767,0.477267,0.729152,-0.402314,-0.369779,276.61,0
82756,-0.406428,0.259512,0.142024,1.62278,-0.665343,-0.768316,-0.29643,-0.1991,0.479519,0.730018,0.623259,0.969297,-0.683342,0.342997,-0.961803,-0.179961,-0.584222,-0.025586,-0.299921,-0.996235,-0.129008,-0.138671,-0.353814,-0.212611,-0.562926,-0.426798,0.681339,-0.542337,1849.85,0
37034,-0.395336,0.550164,0.412439,0.520351,0.116294,0.326717,0.3962,-0.578156,0.055509,-0.800328,-1.047841,-0.078294,0.283588,0.066151,0.81931,0.427844,0.784272,-0.584484,0.169939,0.066425,-0.30344,0.638889,0.426767,0.192129,0.515897,0.688009,0.036386,0.349986,15.28,0
53469,0.343134,0.684944,0.162256,1.388507,-0.125365,0.627558,-1.408271,-0.7849,-0.205348,0.504778,-0.863871,0.061459,-0.357712,-0.709695,0.065408,-0.134046,-0.284427,0.281766,0.387182,0.618741,-0.142171,-0.09285,-0.154503,1.177741,-0.178699,-0.261194,0.876566,-0.547666,46.69,0
76553,-1.684455,1.327256,-0.005254,1.241413,-0.513806,-0.627933,0.430864,-0.25347,-0.458315,-0.429048,0.309714,0.109961,0.198019,0.853381,-0.008748,0.207549,-0.316576,-0.866217,-0.417249,-1.400573,-0.901658,0.363017,0.22485,0.666069,-0.037973,-0.242606,0.331152,-0.365281,10471.89,0
45916,0.257896,0.360187,0.597805,-0.325611,-1.101618,0.833652,0.304592,-0.440145,-0.262264,-1.031673,0.475296,0.59509,-0.589791,1.010474,-0.136857,-0.150231,0.631129,0.317533,0.158157,-0.786024,-0.450147,-0.102494,0.378912,-0.562968,0.245818,-0.374302,0.650163,0.608514,295.37,0
74453,-0.790306,-0.281583,0.488506,1.087765,0.812208,-0.695307,-0.173537,-0.478943,0.519425,-0.90806,0.557113,0.046841,0.831806,-0.791651,0.021657,0.539457,-0.626485,1.118602,-0.193276,0.015308,-0.32579,-1.12523,-0.01106,-0.003675,-0.389472,0.558967,-0.502498,0.326056,439.39,0
74792,0.645157,0.390267,-0.340959,0.705361,0.714845,0.676293,0.425498,0.308407,0.399948,0.084567,-0.340587,-0.74946,-0.119107,0.789232,0.001279,-0.400831,-0.426594,0.148083,0.098381,-1.2827,-0.240175,0.162007,-0.140913,0.017185,-0.634941,-0.782824,-0.991256,0.063717,2888.95,0
86149,-0.02621,0.924111,-0.172903,1.214295,-0.052712,0.137778,-0.082795,0.470548,0.856324,0.188892,0.065543,-0.632335,0.468631,-0.891916,0.058824,0.577107,1.020574,-0.132009,0.698988,0.914668,-0.296247,0.21423,-0.546743,-1.275344,0.226994,0.441019,0.432576,-0.688734,1456.58,0
30677,-0.115311,0.081699,-0.213503,0.807775,-0.024355,-0.481099,-0.17602,0.259823,0.90466,-0.314816,-1.40551,-0.854012,0.366739,0.413921,-0.670037,-0.077451,0.480276,-0.588294,0.764654,0.40409,-0.784172,0.80774,0.714003,0.256362,-0.342467,0.314598,0.904002,0.604942,1255.99,0
62020,0.664576,-0.221308,0.115587,0.677355,-1.001119,0.120801,-0.326768,-0.442975,-0.051158,-0.399617,0.127851,-0.501074,0.415812,-0.119195,-1.173018,-0.490606,-0.45083,-0.021908,-1.203183,-0.958716,-0.471074,-0.539628,-0.384567,-0.601757,0.171388,0.706218,-0.313004,-0.050357,274.49,0
61437,-0.262403,0.285913,1.22423,0.389501,0.292461,-0.494247,0.205739,-0.759501,-1.10266,-0.229993,-0.519342,0.315203,-0.85749,-0.652992,-0.11711,-0.527785,-0.734204,1.231964,-0.463539,0.208051,0.766855,0.107833,-0.079526,0.01798,0.022639,-0.648511,-0.241242,-0.468256,2673.08,0
66649,0.408522,1.451732,-0.828394,0.762514,-0.739676,-1.663547,0.042634,0.157789,0.788573,0.208736,0.4591,-0.16677,-0.684069,0.519731,-0.112989,-0.173454,0.018051,-0.257061,-0.627899,0.334785,0.597799,-0.775997,-0.967389,0.375636,-0.955037,0.450111,0.627973,-1.054317,820.22,0
73901,-0.956749,0.915849,1.015181,0.87445,0.405994,-0.249549,0.107617,-0.189749,0.293558,0.021015,0.849053,0.256849,-0.195332,0.056816,0.217861,0.154456,0.895758,0.003716,0.61255,-0.303745,0.313825,-0.022205,-0.382108,0.415948,-0.73521,-0.773215,0.62385,0.456671,4.6,0
